id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_1965,"Qualatex 11″ Standard Black Balloon","Latex 11″ Chrome Balloon (Black color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-22.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-black-balloon/,"Uncategorized","Balloon Stories",5USD,in stock,wc_post_id_1965,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_1962,"Qualatex 11″ Standard Spring green Balloon","Latex 11″ Chrome Balloon (Spring green color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-20.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-spring-green-balloon/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_1962,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_1960,"Qualatex 11″ Standard Lime green Balloon","Latex 11″ Chrome Balloon (Lime Green color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-19.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-lime-green-balloon/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_1960,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_1957,"Qualatex 11″ Standard Wintergreen Balloon","Latex 11″ Chrome Balloon (Wintergreen color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-18.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-wintergreen-balloon/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_1957,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_1955,"Qualatex 11″ Standard Navy Balloon","Latex 11″ Chrome Balloon (Navy color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-16.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-navy-balloon/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_1955,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_1953,"Qualatex 11″ Standard Periwinkle Balloon","Latex 11″ Chrome Balloon (Periwinkle color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-15.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-periwinkle-balloon/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_1953,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_1951,"Qualatex 11″ Standard Purple Violet Balloon","Latex 11″ Chrome Balloon (Purple Violet color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-14.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-purple-violet-balloon/,"Latex Balloons","Balloon Stories",4USD,in stock,wc_post_id_1951,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4USD,new,published,,,,,,,
wc_post_id_1949,"Qualatex 11″ Standard Spring Lilac Balloon","Latex 11″ Chrome Balloon (Spring Lilac color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-13.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-spring-lilac-balloon/,"Latex Balloons","Balloon Stories",4USD,in stock,wc_post_id_1949,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4USD,new,published,,,,,,,
wc_post_id_1943,"Qualatex 11″ Standard Wild Berry Balloon","Latex 11″ Chrome Balloon (Wild Berry color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-12.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-wild-berry-balloon/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_1943,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_1932,"Qualatex 11″ Standard Coral Balloon","Latex 11″ Chrome Balloon (Coral color)",http://localhost:8888/baloons/wp-content/uploads/2020/12/43802B_W-11.png,http://localhost:8888/baloons/product/qualatex-11%e2%80%b3-standard-coral-balloon/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_1932,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
